time(millisecond),latitude,longitude,altitude_above_seaLevel(meters),North,East,Down, xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), roll(degrees), pitch(degrees), compass_heading(degrees)
67000,32.8255975945376,34.9556976160937,9.5942341,-9.468446118663165,-24.528004756490297,0.6000558076112812,-1.1,-2.8,0.1,0.4,-10.4,245.5
67100,32.8255965748255,34.9556947169371,9.4942341,-9.581532907132855,-24.799472344114665,0.7000570439918414,-1.1,-2.7,0.0,-0.2,-10.6,245.5
67200,32.825595505993,34.955691677601,9.4942341,-9.700067332587889,-25.0840662997892,0.7000583535837261,-1.2,-2.8,-0.1,-1.4,-9.4,245.3
67300,32.8255944255921,34.9556886572478,9.4942341,-9.819884706777295,-25.366882768005127,0.7000596740067979,-1.2,-2.8,0.0,-2.5,-10.1,245.5
67400,32.8255932356229,34.9556854144016,9.4942341,-9.951853310696471,-25.670532803448904,0.7000611130995398,-1.3,-2.9,-0.1,-2.0,-11.1,245.4
67500,32.8255920950998,34.9556823192792,9.4942341,-10.078338293889699,-25.960350450795634,0.7000625039411377,-1.3,-2.9,-0.1,-0.9,-10.7,245.2
67600,32.8255909188226,34.9556788654604,9.3942341,-10.208788199324761,-26.28375487663538,0.8000640577389153,-1.3,-2.9,-0.1,-0.6,-10.1,245.3
67700,32.8255897709715,34.9556758164392,9.4942341,-10.336086024823574,-26.569256190175647,0.7000654643718445,-1.3,-2.9,-0.1,-0.6,-8.7,245.4
67800,32.8255885509087,34.9556726623292,9.3942341,-10.471391873742357,-26.864596867344385,0.8000669415716919,-1.3,-2.9,-0.1,-0.6,-8.9,245.3
67900,32.8255874241297,34.9556696823273,9.3942341,-10.596352608484391,-27.143635023048947,0.8000683473310057,-1.3,-2.9,-0.1,-0.5,-8.8,245.4
68000,32.8255862738229,34.9556665663462,9.3942341,-10.723922567655691,-27.43540584796778,0.8000698288485744,-1.3,-2.9,-0.1,-0.6,-9.4,245.2
68100,32.8255851932396,34.955663721569,9.3942341,-10.843760148935257,-27.701781995530023,0.8000712005219728,-1.3,-2.9,-0.1,-0.5,-9.4,244.9
68200,32.8255839771436,34.9556604390648,9.2942341,-10.978625995151686,-28.009145100242257,0.9000727942749345,-1.3,-3.0,-0.1,-0.3,-9.3,244.8
68300,32.8255828149101,34.9556572925603,9.2942341,-11.107518607139397,-28.303774059979816,0.900074337952689,-1.3,-3.0,-0.2,-0.4,-8.9,244.9
68400,32.8255815892129,34.9556539761887,9.2942341,-11.243449385068885,-28.61430885973534,0.9000759828459781,-1.3,-3.0,-0.2,-1.4,-8.0,245.1
68500,32.8255802977656,34.9556506597968,9.2942341,-11.386671939872434,-28.92484558929389,0.900077658029963,-1.3,-3.0,-0.1,-1.4,-8.3,245.2
68600,32.8255791171698,34.9556474143612,9.2942341,-11.517600904500506,-29.228738170843414,0.9000792987357622,-1.2,-3.0,-0.2,-0.7,-8.3,245.2
